db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
61431ede-4d2b-4681-93c5-08d649afd01e,Natural Opening Out Movement,Rumba,Silver/Gold,Yes,Natural Opening Out Movement,Bronze,6,4,https://www.dancecentral.info/ballroom/international-style/rumba/natural-opening-out-movement,docs/figures steps/parsed/chunk_3/rumba_natural-opening-out-movement.json
bacbe2b9-ee98-44b6-971d-a3987eaeb1d4,Natural Top,Rumba,Silver/Gold,Yes,Natural Top,Bronze,6,4,https://www.dancecentral.info/ballroom/international-style/rumba/natural-top,docs/figures steps/parsed/chunk_3/rumba_natural-top.json
44035242-be14-4184-9506-b371fb318dfa,New York (To LSP or RSP),Rumba,Silver/Gold,Yes,New York (To LSP or RSP),Newcomer,9,21,https://www.dancecentral.info/ballroom/international-style/rumba/new-york,docs/figures steps/parsed/chunk_3/rumba_new-york.json
c3a2c87d-4963-460e-b92e-6b39ed116fe7,Open Hip Twist,Rumba,Silver/Gold,Yes,Open Hip Twist,Silver,6,6,https://www.dancecentral.info/ballroom/international-style/rumba/open-hip-twist,docs/figures steps/parsed/chunk_3/rumba_open-hip-twist.json
09bed8ca-542f-4c61-b67d-7d299ea9e058,Opening Out from Reverse Top,Rumba,Silver/Gold,Yes,Opening Out from Reverse Top,Silver,6,0,https://www.dancecentral.info/ballroom/international-style/rumba/opening-out-from-reverse-top,docs/figures steps/parsed/chunk_3/rumba_opening-out-from-reverse-top.json
281beedc-a829-428d-b399-c05991a1a45f,Opening Out to Right and Left,Rumba,Silver/Gold,Yes,Opening Out to Right and Left,Bronze,12,4,https://www.dancecentral.info/ballroom/international-style/rumba/opening-out-to-right-and-left,docs/figures steps/parsed/chunk_3/rumba_opening-out-to-right-and-left.json
8f4a3d9f-4ebe-4bc7-8578-c3b1aa26c7a9,Progressive Walks Forward in Right Shadow Position (Kiki Walks),Rumba,Silver/Gold,No,,,,,,
599ae6ef-5481-48be-8bd8-b9e0f5f8c02a,Progressive Walks Forward or Backward,Rumba,Silver/Gold,Yes,Progressive Walks Forward or Backward,Newcomer,6,1,https://www.dancecentral.info/ballroom/international-style/rumba/progressive-walks,docs/figures steps/parsed/chunk_2/rumba_progressive-walks.json
db966259-5e28-42c4-af8c-b0718022a4d7,Reverse Top,Rumba,Silver/Gold,Yes,Reverse Top,Silver,4,1,https://www.dancecentral.info/ballroom/international-style/rumba/reverse-top,docs/figures steps/parsed/chunk_2/rumba_reverse-top.json
5bfd0dc0-1f41-47b0-a6e6-d7d4749295f4,Runaway Alemana,Rumba,Silver/Gold,No,,,,,,
