id,name,dance_type_id,dance_class,predefined,alternative_timing,starting_foot_leader,ending_foot_leader,starting_foot_follower,ending_foot_follower,starting_position,ending_position,preceding_figure_names,following_figure_names
f5461740-466c-4509-9537-323faf345500,Alemana,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,,,"Advanced Hip Twists, Basic Movements: Open, Closed Hip Twist, Curl, Fan, Hockey Stick, Open Hip Twist, Opening Out From Reverse Top, Progressive Walks Forward, Spiral, Spot or Switch Turn to L (Lady to R), Three Threes","Basic Movements: Open, Basic Movements: Closed, Fan, Opening Out To Right And Left (Lady LF side on 6), Hand To Hand RSP (when ending to side), Side Step To Left commenced with LF (when ending to side), Side Step To Right commenced with LF (when ending to side), Cuban Rock LF (when ending to side), Syncopated Cuban Rock LF (when ending to side), New York LSP (when ending diagonally fwd in Open CPP), Spot or Switch Turn To R (Lady to L) (when ending diagonally fwd in Open CPP), Underarm Turn To L (when ending diagonally fwd in Open CPP), Natural Opening Out Movement (when ending Lady fwd toards Man's R side), Closed Hip Twist (when ending Lady fwd toards Man's R side), Spiral (when ending Lady fwd toards Man's R side), Rope Spinning (when ending Lady fwd toards Man's R side), Advanced Hip Twists (when ending fwd towards partner's R side), Continuous Hip Twists (when ending fwd towards partner's R side), Circular Hip Twists (when ending fwd towards partner's R side), Progressive Walks Forward in Right Shadow Position (when ending R Shadow Position), Sliding Doors (7-12, when ending R Shadow Position)"
5c828e99-a3b3-427f-a1ea-2e1fc91716d5,Closed Hip Twist,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,Closed Position,,"Alemana, Hand To Hand RSP, Natural Top, New York LSP, Opening Out To Right And Left, Progressive Walks Forward in RSP, Progressive Walks Forward in Right Shadow Position, Rope Spinning, Shoulder To Shoulder Left Side, Three Alemanas","Alemana (when ending in Fan position; or when ending in Open Position), Hockey Stick (when ending in Fan position), Sliding Doors (when ending in Fan position), Fencing (when ending in Fan position), Three Alemanas (when ending in Fan or Open position), Basic Movements: Open (when ending Open Position; or 1-3 Open Basic into Progressive Walks Back or Natural Top, when Closed Hip Twist ends in Open Position), Open Hip Twist (when ending in Open Position), Curl (when ending in Open Position), Three Threes (when ending in Open position), New York LSP (when ending in Open CPP), Spot or Switch Turn To R (Lady to L) (Lady to L when ending in Open CPP), Underarm Turn To L (when ending in Open CPP), Reverse Top (4-6 or 4-9 when ending in Contact Position)"
a1a898c9-f142-4475-a76d-d2bdddbc7be0,Cuban Rocks,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,,,,,,,"Aida, Alemana, Basic Movements: Closed, Cuban Rocks RF, Fencing, Hand To Hand LSP, New York RSP, Progressive Walks Forward in LSP, Rope Spinning, Shoulder To Shoulder Right Side, Side Step To Right commenced with RF, Spot or Switch Turn to L (Lady to R), Syncopated Cuban Rock LF, Three Alemanas, Underarm Turn To R, Basic Movements: Closed, Cuban Rock LF, Hand To Hand RSP, New York LSP, Progressive Walks Forward in RSP, Progressive Walks Forward in Right Shadow Position, Shoulder To Shoulder Left Side, Side Step To Left commenced with LF, Spot or Switch Turn To R (Lady to L), Syncopated Cuban Rocks RF, Underarm Turn To L, Basic Movements: Closed, Cuban Rock LF, Hand To Hand RSP, New York LSP, Progressive Walks Forward in RSP, Progressive Walks Forward in Right Shadow Position, Shoulder To Shoulder Left Side, Side Step To Left commenced with LF, Spot or Switch Turn To R (Lady to L), Syncopated Cuban Rocks RF, Underarm Turn To L, Alemana, Basic Movements: Closed, Cuban Rocks RF, Hand To Hand LSP, New York RSP, Progressive Walks Forward in LSP, Rope Spinning, Shoulder To Shoulder Right Side, Side Step To Right commenced with RF, Spot or Switch Turn to L (Lady to R), Syncopated Cuban Rock LF, Underarm Turn To R","Basic Movements: Open (4-6), Basic Movements: Closed (4-6), New York RSP, Spot or Switch Turn to L (Lady to R), Underarm Turn To R, Hand To Hand LSP, Side Step To Left commenced with RF, Side Step To Right commenced with RF, Cuban Rocks RF, Fan (4-6), Syncopated Cuban Rocks RF, RF Side Cuban Rock, Start with LF to side, weight on LF., 2: Transfer weight to RF | --, Flat foot, 3: Transfer weight to LF, Flat foot, 4 1: Transfer weight to RF, Flat foot, Side Step To Left commenced with LF, Hand To Hand RSP, Basic Movements: Open, Basic Movements: Closed, New York LSP, Spot or Switch Turn To R (Lady to L), Underarm Turn To L, Side Step To Right commenced with LF, Cuban Rock LF, Fan, Syncopated Cuban Rock LF, Syncopated Cuban Rock, 4 weight changes may be used counting 2 and 3, 4 1., The weight changes on the first two steps will not be fully completed, Precedes are same as Cuban Rocks., Follows to LF Syncopated Cuban Rock is the same for RF Cuban Rock. (vice versa), Basic Movements: Open (4-6), Basic Movements: Closed (4-6), New York RSP, Spot or Switch Turn to L (Lady to R), Underarm Turn To R, Hand To Hand LSP, Side Step To Left commenced with RF, Side Step To Right commenced with RF, Cuban Rocks RF, Fan (4-6), Syncopated Cuban Rocks RF, Side Step To Left commenced with LF, Hand To Hand RSP, Basic Movements: Open, Basic Movements: Closed, New York LSP, Spot or Switch Turn To R (Lady to L), Underarm Turn To L, Side Step To Right commenced with LF, Cuban Rock LF, Fan, Syncopated Cuban Rock LF"
10b855f3-b4a1-4f0b-b8ea-dcb5c1aa0ce7,Fencing,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,Fan Position,,"Advanced Hip Twists, Closed Hip Twist, Curl, Fan, Open Hip Twist, Opening Out From Reverse Top, Spiral, Three Threes","New York LSP, Spot or Switch Turn To R (Lady to L), Underarm Turn To L, Basic Movements: Closed, Basic Movements: Open, Cucarachas: LF, Side Step To Left commenced with LF, Fan, Hand To Hand RSP, Side Step To Right commenced with LF, Cuban Rock LF"
a15c2cc8-7237-402b-9693-38925b08e5ea,Fan,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,,,"Alemana, Basic Movements: Closed, Basic Movements: Open, Cuban Rock LF, Cuban Rocks RF, Cucarachas: LF, Cucarachas: RF, Fencing, Hand To Hand LSP, Hand To Hand RSP, Natural Opening Out Movement, Natural Top, New York LSP, New York RSP, Opening Out To Right And Left, Progressive Walks Back, Progressive Walks Forward, Progressive Walks Forward in LSP, Progressive Walks Forward in RSP, Progressive Walks Forward in Right Shadow Position, Reverse Top, Rope Spinning, Shoulder To Shoulder Left Side, Shoulder To Shoulder Right Side, Side Step To Right commenced with LF, Side Step To Right commenced with RF, Spot or Switch Turn to L (Lady to R), Spot or Switch Turn To R (Lady to L), Syncopated Cuban Rock LF, Syncopated Cuban Rocks RF, Three Alemanas, Three Threes, Underarm Turn To L, Underarm Turn To R","Alemana, Hockey Stick, Sliding Doors, Fencing, Three Alemanas"
f6cb56dc-8834-4bf5-aa6c-cfcb33b0e341,Rumba Cross,ac9286d6-5c7f-4ba2-9157-39c1e78801a3,F,true,,LF,LF,RF,LF,,,"Natural Pivot Turn, Natural Turn, Rumba Cross","Running Right Turn (5-11 of Running Right Turn, RF fwd, S, into Tipsy to L), Rumba Cross"
aeb5342e-3065-459f-9b9b-d2f7ce5613ee,Hockey Stick,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,,,"Advanced Hip Twists, Closed Hip Twist, Curl, Fan, Natural Top, Open Hip Twist, Opening Out From Reverse Top, Spiral, Three Threes","Basic Movements: Open (normal; or 1-3 Open Basic into Progressive Walks Back; or 1-3 Open Basic into Natural Top), Shoulder To Shoulder Left Side, Alemana, Open Hip Twist, Curl, Three Threes, Three Alemanas, New York LSP (when Hockey Stick ends in Open CPP), Spot or Switch Turn To R (Lady to L) (when Hockey Stick ends in Open CPP), Underarm Turn To L (when Hockey Stick ends in Open CPP)"
bacbe2b9-ee98-44b6-971d-a3987eaeb1d4,Natural Top,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,LF,LF,,,"Basic Movements: Closed, Basic Movements: Open, Progressive Walks Back, Underarm Turn To L","Basic Movements: Open, Basic Movements: Closed, Fan, Natural Opening Out Movement (last step, Man leads Lady towards his R side), Opening Out To Right And Left, Closed Hip Twist (last step, Man leads Lady towards his R side), Spiral (last step, Man leads Lady towards his R side), Rope Spinning (last step, Man leads Lady towards his R side), Hockey Stick (4-6 following step 6 of Natural Top), Advanced Hip Twists (continue to turn a further 1/8 (up to 3/8) R on step 9, Man taking last step fwd in line with LF towards Lady R side), Continuous Hip Twists (continue to turn a further 1/8 (up to 3/8) R on step 9, Man taking last step fwd in line with LF towards Lady R side), Circular Hip Twists (continue to turn a further 1/8 (up to 3/8) R on step 9, Man taking last step fwd in line with LF towards Lady R side)"
61431ede-4d2b-4681-93c5-08d649afd01e,Natural Opening Out Movement,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,LF,RF,RF,Closed Position,,"Alemana, Natural Top, Opening Out To Right And Left, Rope Spinning, Three Alemanas","Basic Movements: Open (4-6), Basic Movements: Closed (4-6), Underarm Turn To R, Fan (4-6), Reverse Top (Man turns 1/8 L on 3 to contact position, placing LF in front of RF as Cuban Cross. Lady turns an additional 1/8 on 3 to end wih RF back and slightly side)"
281beedc-a829-428d-b399-c05991a1a45f,Opening Out to Right and Left,4ca62d38-30de-4759-aea0-668fdb49d7b8,F,true,,LF,RF,RF,LF,Closed Position,,"Alemana, Natural Top, Rope Spinning, Three Alemanas","Fan, Basic Movements: Closed, Basic Movements: Open, Natural Opening Out Movement, Closed Hip Twist, Spiral (1/4 R on 1)"
